"id","surface","source","file","line","occurrences","locale","key","current_text","suggested_text","notes"
"hardcoded.5982e28d0e","frontstage","hardcoded","src/app/cases/[id]/page.tsx","110","9","unknown","","확인 필요","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.9deb52e20d","frontstage","hardcoded","src/app/cases/[id]/page.tsx","110","2","unknown","","需要确认","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.b5a77c7c3d","frontstage","hardcoded","src/app/cases/[id]/page.tsx","110","4","unknown","","確認が必要","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.1f12f1d2e9","frontstage","hardcoded","src/app/cases/[id]/page.tsx","111","10","unknown","","確認済み","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.d1a349f788","frontstage","hardcoded","src/app/cases/[id]/page.tsx","111","3","unknown","","확인됨","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.d9fea67ad2","frontstage","hardcoded","src/app/cases/[id]/page.tsx","111","5","unknown","","已确认","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.4b395d0e0e","frontstage","hardcoded","src/app/cases/[id]/page.tsx","112","3","unknown","","已修正","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.6b7dad83b5","frontstage","hardcoded","src/app/cases/[id]/page.tsx","112","3","unknown","","수정됨","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.953342f693","frontstage","hardcoded","src/app/cases/[id]/page.tsx","112","3","unknown","","修正済み","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.d27e734709","frontstage","hardcoded","src/app/cases/[id]/page.tsx","113","2","unknown","","불명","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.b2aff5540d","frontstage","hardcoded","src/app/cases/[id]/page.tsx","114","2","unknown","","不採用","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.cad4a132fb","frontstage","hardcoded","src/app/cases/[id]/page.tsx","114","2","unknown","","미채택","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.d801b0157f","frontstage","hardcoded","src/app/cases/[id]/page.tsx","114","3","unknown","","不采用","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.27b5842c97","frontstage","hardcoded","src/app/cases/[id]/page.tsx","123","3","unknown","","待确认","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.c08058e460","frontstage","hardcoded","src/app/cases/[id]/page.tsx","123","2","unknown","","확인 대기","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.ea81c0b842","frontstage","hardcoded","src/app/cases/[id]/page.tsx","123","9","unknown","","要確認","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.287a1d1034","frontstage","hardcoded","src/app/cases/[id]/page.tsx","125","5","unknown","","未填写","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.80756b4bee","frontstage","hardcoded","src/app/cases/[id]/page.tsx","125","5","unknown","","미입력","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.6451be839f","frontstage","hardcoded","src/app/cases/[id]/page.tsx","126","1","unknown","","불일치","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.ea88dc52f5","frontstage","hardcoded","src/app/cases/[id]/page.tsx","126","2","unknown","","不一致","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.eec46c136f","frontstage","hardcoded","src/app/cases/[id]/page.tsx","129","3","unknown","","不适用","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.f1a3a90769","frontstage","hardcoded","src/app/cases/[id]/page.tsx","129","2","unknown","","해당 없음","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.fb2284c3a6","frontstage","hardcoded","src/app/cases/[id]/page.tsx","129","1","unknown","","不適用","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.3945ad278d","frontstage","hardcoded","src/app/cases/[id]/page.tsx","146","3","unknown","","확인 완료","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.4c52e7a14c","frontstage","hardcoded","src/app/cases/[id]/page.tsx","146","1","unknown","","確認済みにする","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.f5b8054ab1","frontstage","hardcoded","src/app/cases/[id]/page.tsx","146","1","unknown","","确认无误","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.0ffe9c9281","frontstage","hardcoded","src/app/cases/[id]/page.tsx","147","1","unknown","","확인 불가","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.44f4329521","frontstage","hardcoded","src/app/cases/[id]/page.tsx","147","1","unknown","","暂时无法确认","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.c56753c67b","frontstage","hardcoded","src/app/cases/[id]/page.tsx","147","1","unknown","","確認できない","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.5e3bb8d7fe","frontstage","hardcoded","src/app/cases/[id]/page.tsx","148","1","unknown","","使わない","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.b2fd53af02","frontstage","hardcoded","src/app/cases/[id]/page.tsx","148","1","unknown","","사용 안 함","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.39298c3247","frontstage","hardcoded","src/app/cases/[id]/page.tsx","149","3","unknown","","該当なし","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.46105c22cb","frontstage","hardcoded","src/app/cases/[id]/page.tsx","156","3","unknown","","店舗","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.53ba1f65fb","frontstage","hardcoded","src/app/cases/[id]/page.tsx","156","4","unknown","","駐車場","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.6aba5fbdea","frontstage","hardcoded","src/app/cases/[id]/page.tsx","156","1","unknown","","住居学生用","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.7203418757","frontstage","hardcoded","src/app/cases/[id]/page.tsx","156","1","unknown","","トランクルーム","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.7c2281ce71","frontstage","hardcoded","src/app/cases/[id]/page.tsx","156","14","unknown","","その他","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.d2aff834c0","frontstage","hardcoded","src/app/cases/[id]/page.tsx","156","1","unknown","","住居火災保険","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.db8a5a29ab","frontstage","hardcoded","src/app/cases/[id]/page.tsx","156","2","unknown","","倉庫","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.ec037d3765","frontstage","hardcoded","src/app/cases/[id]/page.tsx","156","5","unknown","","事務所","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.86614db0b9","frontstage","hardcoded","src/app/cases/[id]/page.tsx","159","1","unknown","","普通借家","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.b01068c7b3","frontstage","hardcoded","src/app/cases/[id]/page.tsx","159","1","unknown","","定期借家","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.028d3ca147","frontstage","hardcoded","src/app/cases/[id]/page.tsx","162","1","unknown","","振込","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.986111408f","frontstage","hardcoded","src/app/cases/[id]/page.tsx","162","1","unknown","","口座振替","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.ab1110fbbc","frontstage","hardcoded","src/app/cases/[id]/page.tsx","162","1","unknown","","カード","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.d1d753b4c9","frontstage","hardcoded","src/app/cases/[id]/page.tsx","162","1","unknown","","集金代行","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.26bc84961c","frontstage","hardcoded","src/app/cases/[id]/page.tsx","165","4","unknown","","女","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.51625d909c","frontstage","hardcoded","src/app/cases/[id]/page.tsx","165","5","unknown","","男","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.9ecc4ea4aa","frontstage","hardcoded","src/app/cases/[id]/page.tsx","168","3","unknown","","無","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.fbd5b75066","frontstage","hardcoded","src/app/cases/[id]/page.tsx","168","4","unknown","","有","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.01ca6d409c","frontstage","hardcoded","src/app/cases/[id]/page.tsx","171","1","unknown","","自宅","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
"hardcoded.1a29dca82d","frontstage","hardcoded","src/app/cases/[id]/page.tsx","171","3","unknown","","賃貸","","Hardcoded UI copy. Migrate to i18n before automatic replacement."
