"review_id","priority","current_ja_text","zh_reference","page_position","control_type","control_meaning","user_effect","suggested_ja_text","reviewer_note"
"CTX-JA-001","high","ブローカーデスク","Broker Desk","全局 / 左上角产品名","产品名","系统名称，固定品牌展示。","只用于识别产品，不影响操作。","",""
"CTX-JA-002","high","入力・整理・出力","录入・整理・输出","全局 / 左侧产品名下方副标题","产品副标题","一句话说明产品的核心流程。","用户第一次进入时会用它理解产品是干什么的。","",""
"CTX-JA-003","high","作業台","工作台","左侧主导航第一项 / 首页标题","主导航入口","进入首页总入口，只负责选择下一步去哪里。","点击后回到首页，看到录入资料、补齐信息、输出文件三个方向。","",""
"CTX-JA-004","high","資料入力","录入资料","左侧主导航第二项 / 首页入口卡片 / 录入页标题","主导航入口 / 流程入口","开始新建案件、客户、物件，或者读取已有文件。","点击后进入录入资料页，不在首页重复办理具体事项。","",""
"CTX-JA-005","high","情報を整理","整理信息","左侧主导航第三项 / 整理页标题","主导航入口 / 流程入口","查找案件、客户/关系人、物件、资料，并补齐缺失信息。","点击后进入整理信息页，按对象检索和继续整理。","",""
"CTX-JA-006","high","書類を出力","输出文件","左侧主导航第四项 / 输出页标题 / 首页入口卡片","主导航入口 / 流程入口","从已整理案件生成保证会社申请书或其他输出文件。","点击后进入输出中心，选择案件和模板后预览/输出。","",""
"CTX-JA-007","medium","ワークスペース設定","工作区设置","左侧设置区标题","设置区分组标题","说明下面是团队、必填项、文书格式等工作区设置。","用户不应把这里理解为日常办理流程。","",""
"CTX-JA-008","medium","チームメンバー","团队成员","左侧设置区 / 设置入口","设置入口","管理同一工作区里的成员和权限。","点击后进入成员管理，不处理案件资料。","",""
"CTX-JA-009","high","必須項目","必填项目","左侧设置区 / 设置入口","设置入口","设置哪些案件字段必须填写，哪些可以选填。","影响整理信息页里的完成度和待补顺序。","",""
"CTX-JA-010","medium","書類フォーマット","文书格式","左侧设置区 / 设置入口","设置入口","管理输出文书使用的模板、格式和公司信息。","影响输出文件的模板选择和格式规则。","",""
"CTX-JA-011","high","まず何をしますか","现在要做哪一步","首页 / 顶部大标题区域","页面引导标题","告诉用户首页只需要选择下一步。","用户停留 10 秒时应该能知道从哪里开始。","",""
"CTX-JA-012","high","ここは分岐だけを行います。資料入力、情報整理、書類出力のどれに進むかを選んでください。","这里只做分流，请选择录入资料、整理信息或输出文件。","首页 / 顶部说明文字","页面说明","解释首页不是办理所有事情的地方，只是流程分岔口。","减少用户把首页当成复杂资料列表的误解。","",""
"CTX-JA-013","high","案件を作る","新建案件","首页 / 录入资料卡片内主行动","行动标题","没有资料时也可以先创建一个案件。","点击后进入录入资料/新建案件方向。","",""
"CTX-JA-014","high","資料を読む","读取资料","首页 / 录入资料卡片内主行动","行动标题","读取 Excel、在留卡、驾照或图片资料。","点击后进入录入资料页上传/读取资料。","",""
"CTX-JA-015","high","足りない情報を入れる","补齐信息","首页 / 补齐信息卡片标题","行动标题","处理未填写、待确认、不一致的项目。","点击后进入整理信息页继续处理未完成对象。","",""
"CTX-JA-016","high","次に処理するもの","下一批要处理","首页 / 待处理列表标题","区块标题","只列出当前最需要继续整理的对象。","帮助用户知道下一步优先处理什么，而不是浏览全部资料。","",""
"CTX-JA-017","medium","全体の残り","整体剩余","首页 / 右侧整理概况卡片","状态概览标题","显示案件、客户/关系人、物件、资料文件的总数和待处理数。","用户用它判断整体工作量，不直接在这里逐项编辑。","",""
"CTX-JA-018","medium","すべて表示","查看全部","首页 / 整理概况或列表右上角","链接按钮","跳转到完整列表。","点击后进入整理信息页看全部对象。","",""
"CTX-JA-019","high","要整理","待整理","首页/整理信息页/列表状态标签","状态标签","表示这个对象还有内容需要确认或补齐。","用户看到后应知道还不能直接输出，需继续整理。","",""
"CTX-JA-020","high","整理済み","已整理","首页/整理信息页/列表状态标签","状态标签","表示基础信息已整理，可以继续查看或输出。","用户看到后应知道该对象暂时不需要优先处理。","",""
"CTX-JA-021","high","未紐付け","未关联/未归属","首页/整理信息页/资料状态标签","状态标签","表示资料还没确定属于哪个案件、客户/关系人或物件。","用户需要先选择归属对象，系统不会自动写入案件。","",""
"CTX-JA-022","high","顧客/関係者","客户/关系人","首页资料地图 / 整理信息筛选","对象类型","泛指客户、申请人、出租人、保证人、公司等相关主体。","用于按对象类型查看，不是单独的一个人名字段。","",""
"CTX-JA-023","high","資料ファイル","资料文件","首页资料地图 / 整理信息筛选","对象类型","用户上传或读取的 Excel、PDF、图片等资料。","点击筛选后只看文件资料，不看案件/客户/物件。","",""
